"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107446",
"Firmware Version","02.300",
"Date","2024-02-20",
"Time","13:07:15",
"Comment","",

"Meas. Place",,"1",,
"Type",,"Peak Peak",,
"Source 1",,"C1",,
"Source 2",,,,
"Unit",,V,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,3016,,
"Current",,4.380000e-02,,
"Average No.",,1.000000e+03,,
"Min",,3.640000e-02,,
"Max",,7.100000e-02,,
"Mean",,4.385940e-02,,
"StdDev",,2.668600e-03,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,3.620000e-02,,
"Long term Max",,7.780000e-02,,
"Long term Mean",,4.396500e-02,,
"Long term StdDev",,2.727000e-03,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
1,,4.600000e-02,
2,,4.380000e-02,
3,,4.260000e-02,
4,,4.540000e-02,
5,,4.440000e-02,
6,,4.000000e-02,
7,,4.160000e-02,
8,,4.420000e-02,
9,,4.260000e-02,
10,,3.960000e-02,
11,,4.360000e-02,
12,,3.860000e-02,
13,,4.120000e-02,
14,,3.740000e-02,
15,,3.940000e-02,
16,,4.760000e-02,
17,,4.520000e-02,
18,,4.240000e-02,
19,,4.500000e-02,
20,,4.800000e-02,
21,,4.660000e-02,
22,,4.680000e-02,
23,,4.520000e-02,
24,,3.740000e-02,
25,,4.240000e-02,
26,,4.500000e-02,
27,,4.440000e-02,
28,,4.640000e-02,
29,,4.160000e-02,
30,,4.220000e-02,
31,,5.020000e-02,
32,,4.340000e-02,
33,,4.720000e-02,
34,,4.000000e-02,
35,,4.420000e-02,
36,,4.580000e-02,
37,,4.420000e-02,
38,,4.460000e-02,
39,,3.980000e-02,
40,,4.380000e-02,
41,,4.180000e-02,
42,,4.680000e-02,
43,,4.500000e-02,
44,,4.460000e-02,
45,,4.460000e-02,
46,,4.380000e-02,
47,,4.320000e-02,
