EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
298.195,0,0,0
296.53,0,0,0
298.782,0,0,0
298.438,0,0,0
298.552,0,0,0
209.727,0,0,0
298.327,0,0,0
296.566,0,0,0
296.684,0,0,0
298.441,0,0,0
297.512,0,0,0
298.506,0,0,0
297.326,0,0,0
274.812,0,0,0
189.453,0,0,0
296.193,0,0,0
298.557,0,0,0
299.114,0,0,0
298.197,0,0,0
115.524,0,0,0
298.611,0,0,0
297.961,0,0,0
299.01,0,0,0
295.905,0,0,0
299.033,0,0,0
171.829,0,0,0
136.867,0,0,0
298.877,0,0,0
298.764,0,0,0
299.372,0,0,0
298.73,0,0,0
297.043,0,0,0
297.026,0,0,0
298.556,0,0,0
298.524,0,0,0
297.115,0,0,0
298.058,0,0,0
299.424,0,0,0
298.188,0,0,0
131.048,0,0,0
297.656,0,0,0
297.752,0,0,0
299.393,0,0,0
120.512,0,0,0
98.3444,0,0,0
297.797,0,0,0
297.702,0,0,0
297.812,0,0,0
296.827,0,0,0
298.963,0,0,0
299.104,0,0,0
297.237,0,0,0
297.732,0,0,0
296.803,0,0,0
297.462,0,0,0
298.216,0,0,0
297.1,0,0,0
185.619,0,0,0
295.371,0,0,0
299.569,0,0,0
189.407,0,0,0
298.225,0,0,0
298.498,0,0,0
298.773,0,0,0
150.042,0,0,0
293.624,0,0,0
89.8946,0,0,0
297.916,0,0,0
297.696,0,0,0
185.965,0,0,0
88.1439,0,0,0
297.877,0,0,0
299.162,0,0,0
159.514,0,0,0
297.908,0,0,0
298.911,0,0,0
298.677,0,0,0
218.012,0,0,0
298.565,0,0,0
298.622,0,0,0
185.752,0,0,0
297.086,0,0,0
293.88,0,0,0
293.071,0,0,0
299.062,0,0,0
192.715,0,0,0
298.915,0,0,0
299.089,0,0,0
297.75,0,0,0
298.66,0,0,0
111,0,0,0
220.809,0,0,0
294.188,0,0,0
297.489,0,0,0
200.25,0,0,0
298.747,0,0,0
297.654,0,0,0
23.71,0,0,0
207.296,0,0,0
297.948,0,0,0
