EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
60,0,0,0
60,0,0,0
3.70155,0,0,0
60,0,0,0
8.87316,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
1.94175,0,0,0
60,0,0,0
5.32475,0,0,0
60,0,0,0
6.86199,0,0,0
7.93166,0,0,0
60,0,0,0
8.27883,0,0,0
2.48099,0,0,0
10.5265,0,0,0
10.8941,0,0,0
6.24674,0,0,0
8.01173,0,0,0
4.86749,0,0,0
2.96774,0,0,0
60,0,0,0
60,0,0,0
0.476427,0,0,0
0.569944,0,0,0
10.1945,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.01614,0,0,0
7.97979,0,0,0
3.71327,0,0,0
4.98216,0,0,0
4.47247,0,0,0
2.2763,0,0,0
23.1846,0,0,0
5.41197,0,0,0
60,0,0,0
7.36717,0,0,0
8.81265,0,0,0
60,0,0,0
60,0,0,0
1.8708,0,0,0
60,0,0,0
4.87827,0,0,0
60,0,0,0
1.26498,0,0,0
3.40987,0,0,0
60,0,0,0
60,0,0,0
10.5524,0,0,0
60,0,0,0
60,0,0,0
0.890825,0,0,0
9.18002,0,0,0
60,0,0,0
60,0,0,0
9.82523,0,0,0
8.66684,0,0,0
60,0,0,0
10.071,0,0,0
2.80717,0,0,0
60,0,0,0
0.346069,0,0,0
60,0,0,0
60,0,0,0
9.90265,0,0,0
60,0,0,0
1.20504,0,0,0
0.621919,0,0,0
31.5927,0,0,0
6.0979,0,0,0
5.89966,0,0,0
2.37799,0,0,0
60,0,0,0
11.3799,0,0,0
0.98889,0,0,0
60,0,0,0
10.2227,0,0,0
8.81174,0,0,0
0.764587,0,0,0
60,0,0,0
60,0,0,0
6.51755,0,0,0
60,0,0,0
8.61743,0,0,0
60,0,0,0
0.595318,0,0,0
1.78667,0,0,0
60,0,0,0
1.8011,0,0,0
60,0,0,0
10.7494,0,0,0
8.80516,0,0,0
60,0,0,0
7.46483,0,0,0
60,0,0,0
60,0,0,0
2.07713,0,0,0
60,0,0,0
27.6587,0,0,0
60,0,0,0
7.00979,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
5.43609,0,0,0
3.29234,0,0,0
1.21756,0,0,0
10.351,0,0,0
2.35741,0,0,0
10.7785,0,0,0
1.05186,0,0,0
2.83326,0,0,0
60,0,0,0
60,0,0,0
5.66006,0,0,0
10.8061,0,0,0
11.0662,0,0,0
3.293,0,0,0
10.8401,0,0,0
5.09608,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
13.1452,0,0,0
3.98301,0,0,0
60,0,0,0
60,0,0,0
0.956786,0,0,0
0.570522,0,0,0
60,0,0,0
0.21987,0,0,0
10.2083,0,0,0
5.76176,0,0,0
60,0,0,0
7.22606,0,0,0
8.05732,0,0,0
23.2281,0,0,0
2.65567,0,0,0
3.0697,0,0,0
1.90698,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.67671,0,0,0
60,0,0,0
60,0,0,0
8.26029,0,0,0
60,0,0,0
60,0,0,0
2.51269,0,0,0
60,0,0,0
2.40584,0,0,0
60,0,0,0
6.70338,0,0,0
1.93463,0,0,0
0.57988,0,0,0
60,0,0,0
60,0,0,0
0.119798,0,0,0
3.49489,0,0,0
60,0,0,0
5.69777,0,0,0
8.53677,0,0,0
60,0,0,0
10.0766,0,0,0
7.86975,0,0,0
5.73341,0,0,0
5.98422,0,0,0
60,0,0,0
60,0,0,0
11.195,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.80152,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.97383,0,0,0
9.61374,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.38389,0,0,0
60,0,0,0
12.977,0,0,0
60,0,0,0
8.79549,0,0,0
5.56191,0,0,0
10.3641,0,0,0
60,0,0,0
10.0826,0,0,0
0.161442,0,0,0
60,0,0,0
60,0,0,0
10.1704,0,0,0
4.23311,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
14.81,0,0,0
60,0,0,0
10.0546,0,0,0
60,0,0,0
10.0633,0,0,0
60,0,0,0
16.5839,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.93253,0,0,0
60,0,0,0
0.876191,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.72786,0,0,0
5.41994,0,0,0
0.2667,0,0,0
3.34652,0,0,0
60,0,0,0
60,0,0,0
10.5568,0,0,0
60,0,0,0
3.37471,0,0,0
60,0,0,0
60,0,0,0
5.6733,0,0,0
60,0,0,0
10.2215,0,0,0
8.87262,0,0,0
0.725405,0,0,0
1.70056,0,0,0
60,0,0,0
