EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
231.781,-50,0,0
83.4125,-50,0,0
79.997,-50,0,0
153.512,-50,0,0
85.6629,-50,0,0
113.614,-50,0,0
22.0657,-50,0,0
393.052,-50,0,0
4.87918,-50,0,0
164.91,-50,0,0
145.695,-50,0,0
632.581,-50,0,0
84.7983,-50,0,0
347.169,-50,0,0
52.5829,-50,0,0
79.7409,-50,0,0
102.068,-50,0,0
265.374,-50,0,0
331.012,-50,0,0
291.003,-50,0,0
113.48,-50,0,0
532.172,-50,0,0
359.424,-50,0,0
96.3645,-50,0,0
143.347,-50,0,0
88.3872,-50,0,0
81.9613,-50,0,0
211.794,-50,0,0
350.597,-50,0,0
126.698,-50,0,0
134.585,-50,0,0
208.752,-50,0,0
310.685,-50,0,0
134.52,-50,0,0
120.47,-50,0,0
130.557,-50,0,0
255.843,-50,0,0
118.48,-50,0,0
355.094,-50,0,0
125.639,-50,0,0
103.006,-50,0,0
157.312,-50,0,0
125.052,-50,0,0
77.233,-50,0,0
92.2884,-50,0,0
97.6412,-50,0,0
89.7077,-50,0,0
419.024,-50,0,0
90.5094,-50,0,0
302.164,-50,0,0
174.521,-50,0,0
256.233,-50,0,0
90.9461,-50,0,0
112.513,-50,0,0
142.533,-50,0,0
74.8492,-50,0,0
160.626,-50,0,0
61.9887,-50,0,0
90.7164,-50,0,0
204.885,-50,0,0
87.6476,-50,0,0
90.5332,-50,0,0
91.6052,-50,0,0
115.944,-50,0,0
167.245,-50,0,0
217.528,-50,0,0
333.144,-50,0,0
88.1207,-50,0,0
213.619,-50,0,0
97.2412,-50,0,0
433.893,-50,0,0
90.0226,-50,0,0
278.872,-50,0,0
94.9789,-50,0,0
147.828,-50,0,0
348.744,-50,0,0
311.985,-50,0,0
131.637,-50,0,0
38.5243,-50,0,0
123.007,-50,0,0
350.581,-50,0,0
74.5862,-50,0,0
87.5146,-50,0,0
