EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
298.616,0,0,0
298.456,0,0,0
298.516,0,0,0
86.7032,0,0,0
299.219,0,0,0
297.739,0,0,0
298.529,0,0,0
113.385,0,0,0
298.85,0,0,0
299.248,0,0,0
298.752,0,0,0
90.8637,0,0,0
298.599,0,0,0
298.455,0,0,0
297.537,0,0,0
298.797,0,0,0
297.49,0,0,0
298.395,0,0,0
298.457,0,0,0
298.203,0,0,0
299.361,0,0,0
156.823,0,0,0
298.146,0,0,0
296.172,0,0,0
297.758,0,0,0
299.048,0,0,0
298.614,0,0,0
298.254,0,0,0
299.044,0,0,0
299.449,0,0,0
299.114,0,0,0
123.347,0,0,0
152.761,0,0,0
298.358,0,0,0
146.537,0,0,0
298.509,0,0,0
298.781,0,0,0
298.732,0,0,0
299.452,0,0,0
297.928,0,0,0
269.837,0,0,0
275.567,0,0,0
298.575,0,0,0
297.887,0,0,0
297.564,0,0,0
162.047,0,0,0
298.508,0,0,0
298.641,0,0,0
297.761,0,0,0
293.2,0,0,0
298.196,0,0,0
174.731,0,0,0
297.83,0,0,0
297.864,0,0,0
299.132,0,0,0
298.65,0,0,0
296.805,0,0,0
298.66,0,0,0
298.715,0,0,0
298.06,0,0,0
298.665,0,0,0
297.307,0,0,0
298.379,0,0,0
297.897,0,0,0
299.147,0,0,0
299.03,0,0,0
110.379,0,0,0
192.77,0,0,0
295.563,0,0,0
288.848,0,0,0
299.192,0,0,0
167.536,0,0,0
298.487,0,0,0
299.424,0,0,0
299.053,0,0,0
298.915,0,0,0
160.651,0,0,0
139.681,0,0,0
297.563,0,0,0
258.011,0,0,0
298.862,0,0,0
297.015,0,0,0
296.594,0,0,0
297.23,0,0,0
298.06,0,0,0
296.827,0,0,0
298.052,0,0,0
298.079,0,0,0
293.796,0,0,0
152.397,0,0,0
299.146,0,0,0
298.278,0,0,0
299.3,0,0,0
299.173,0,0,0
298.846,0,0,0
298.66,0,0,0
297.916,0,0,0
298.717,0,0,0
298.231,0,0,0
