EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
381.771,-400,0,0
386.764,-400,0,0
374.944,-400,0,0
84.952,-400,0,0
87.9566,-400,0,0
230.837,-400,0,0
99.6242,-400,0,0
163.44,-400,0,0
125.45,-400,0,0
290.645,-400,0,0
107.007,-400,0,0
85.5335,-400,0,0
71.8448,-400,0,0
231.201,-400,0,0
119.454,-400,0,0
128.314,-400,0,0
99.2564,-400,0,0
98.1996,-400,0,0
75.4546,-400,0,0
139.549,-400,0,0
112.542,-400,0,0
332.092,-400,0,0
263.736,-400,0,0
96.6817,-400,0,0
314.685,-400,0,0
102.816,-400,0,0
201.351,-400,0,0
124.678,-400,0,0
343.392,-400,0,0
104.076,-400,0,0
328.372,-400,0,0
85.2867,-400,0,0
172.754,-400,0,0
112.998,-400,0,0
225.933,-400,0,0
571.866,-400,0,0
146.235,-400,0,0
128.041,-400,0,0
119.209,-400,0,0
138.261,-400,0,0
379.872,-400,0,0
101.998,-400,0,0
84.3602,-400,0,0
133.246,-400,0,0
376.692,-400,0,0
261.37,-400,0,0
80.4952,-400,0,0
245.988,-400,0,0
30.7577,-400,0,0
356.071,-400,0,0
220.574,-400,0,0
90.301,-400,0,0
74.8533,-400,0,0
248.449,-400,0,0
509.898,-400,0,0
215.712,-400,0,0
299.075,-400,0,0
316.536,-400,0,0
182.55,-400,0,0
94.9811,-400,0,0
71.6317,-400,0,0
196.46,-400,0,0
427.902,-400,0,0
236.591,-400,0,0
235.489,-400,0,0
155.741,-400,0,0
103.017,-400,0,0
302.446,-400,0,0
141.182,-400,0,0
81.03,-400,0,0
356.383,-400,0,0
177.868,-400,0,0
120.74,-400,0,0
153.225,-400,0,0
203.463,-400,0,0
184.476,-400,0,0
74.1445,-400,0,0
181.622,-400,0,0
689.265,-400,0,0
302.506,-400,0,0
430.175,-400,0,0
176.09,-400,0,0
15.8948,-400,0,0
217.086,-400,0,0
95.3037,-400,0,0
179.236,-400,0,0
128.724,-400,0,0
442.237,-400,0,0
89.0852,-400,0,0
89.616,-400,0,0
117.188,-400,0,0
96.3709,-400,0,0
218.485,-400,0,0
93.3283,-400,0,0
68.4,-400,0,0
239.232,-400,0,0
274.368,-400,0,0
99.6695,-400,0,0
218.979,-400,0,0
84.5819,-400,0,0
140.402,-400,0,0
168.305,-400,0,0
97.6745,-400,0,0
75.9055,-400,0,0
126.228,-400,0,0
79.1871,-400,0,0
343.399,-400,0,0
99.261,-400,0,0
91.3955,-400,0,0
106.862,-400,0,0
104.768,-400,0,0
752.872,-400,0,0
189.479,-400,0,0
201.977,-400,0,0
108.23,-400,0,0
111.097,-400,0,0
244.291,-400,0,0
149.806,-400,0,0
137.802,-400,0,0
122.591,-400,0,0
182.529,-400,0,0
63.6402,-400,0,0
146.158,-400,0,0
552.071,-400,0,0
262.158,-400,0,0
65.1171,-400,0,0
225.973,-400,0,0
98.7158,-400,0,0
391.269,-400,0,0
146.215,-400,0,0
180.541,-400,0,0
381.68,-400,0,0
120.2,-400,0,0
317.475,-400,0,0
83.9286,-400,0,0
96.8393,-400,0,0
319.682,-400,0,0
490.451,-400,0,0
176.107,-400,0,0
91.1339,-400,0,0
137.276,-400,0,0
158.735,-400,0,0
395.692,-400,0,0
166.991,-400,0,0
227.869,-400,0,0
98.5199,-400,0,0
117.954,-400,0,0
118.996,-400,0,0
339.329,-400,0,0
420.48,-400,0,0
137.714,-400,0,0
168.853,-400,0,0
130.702,-400,0,0
108.22,-400,0,0
111.39,-400,0,0
111.558,-400,0,0
88.8087,-400,0,0
148.532,-400,0,0
97.9312,-400,0,0
379.367,-400,0,0
114.925,-400,0,0
177.98,-400,0,0
100.825,-400,0,0
274.926,-400,0,0
141.476,-400,0,0
67.0714,-400,0,0
124.92,-400,0,0
116.782,-400,0,0
523.751,-400,0,0
2.19,-400,0,0
202.332,-400,0,0
113.112,-400,0,0
250.902,-400,0,0
117.557,-400,0,0
76.9665,-400,0,0
140.624,-400,0,0
