EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
198.216,-70,0,0.0044
82.3456,-70,0,0.0044
157.948,-70,0,0.0044
103.393,-70,0,0.0044
169.376,-70,0,0.0044
74.9546,-70,0,0.0044
107.472,-70,0,0.0044
104.735,-70,0,0.0044
80.9712,-70,0,0.0044
100.399,-70,0,0.0044
169.557,-70,0,0.0044
618.815,-70,0,0.0044
105.978,-70,0,0.0044
165.708,-70,0,0.0044
136.766,-70,0,0.0044
377.999,-70,0,0.0044
100.884,-70,0,0.0044
12.626,-70,0,0.0044
100.699,-70,0,0.0044
147.669,-70,0,0.0044
84.293,-70,0,0.0044
114.965,-70,0,0.0044
73.4496,-70,0,0.0044
362.819,-70,0,0.0044
149.533,-70,0,0.0044
135.111,-70,0,0.0044
245.996,-70,0,0.0044
143.811,-70,0,0.0044
122.483,-70,0,0.0044
135.533,-70,0,0.0044
216.512,-70,0,0.0044
71.1824,-70,0,0.0044
15.7975,-70,0,0.0044
200.553,-70,0,0.0044
192.288,-70,0,0.0044
77.4573,-70,0,0.0044
252.174,-70,0,0.0044
92.3009,-70,0,0.0044
100.819,-70,0,0.0044
197.855,-70,0,0.0044
314.179,-70,0,0.0044
258.129,-70,0,0.0044
114.866,-70,0,0.0044
379.54,-70,0,0.0044
170.646,-70,0,0.0044
135.825,-70,0,0.0044
147.082,-70,0,0.0044
315.733,-70,0,0.0044
149.291,-70,0,0.0044
146.499,-70,0,0.0044
95.8243,-70,0,0.0044
106.172,-70,0,0.0044
232.685,-70,0,0.0044
92.2565,-70,0,0.0044
371.771,-70,0,0.0044
85.8403,-70,0,0.0044
108.16,-70,0,0.0044
124.625,-70,0,0.0044
289.9,-70,0,0.0044
32.8284,-70,0,0.0044
92.7051,-70,0,0.0044
225.831,-70,0,0.0044
149.061,-70,0,0.0044
128.058,-70,0,0.0044
112.656,-70,0,0.0044
561.066,-70,0,0.0044
133.595,-70,0,0.0044
76.2876,-70,0,0.0044
356.225,-70,0,0.0044
384.679,-70,0,0.0044
190.233,-70,0,0.0044
569.675,-70,0,0.0044
140.717,-70,0,0.0044
100.177,-70,0,0.0044
73.0948,-70,0,0.0044
110.79,-70,0,0.0044
324.544,-70,0,0.0044
80.5861,-70,0,0.0044
79.2946,-70,0,0.0044
165.992,-70,0,0.0044
14.9723,-70,0,0.0044
107.56,-70,0,0.0044
305.504,-70,0,0.0044
316.075,-70,0,0.0044
183.235,-70,0,0.0044
82.0221,-70,0,0.0044
92.7901,-70,0,0.0044
261.685,-70,0,0.0044
112.536,-70,0,0.0044
95.4595,-70,0,0.0044
299.263,-70,0,0.0044
130.256,-70,0,0.0044
110.147,-70,0,0.0044
87.6244,-70,0,0.0044
91.2592,-70,0,0.0044
183.85,-70,0,0.0044
131.178,-70,0,0.0044
74.3479,-70,0,0.0044
112.358,-70,0,0.0044
160.715,-70,0,0.0044
87.7295,-70,0,0.0044
268.68,-70,0,0.0044
732.791,-70,0,0.0044
179.801,-70,0,0.0044
166.955,-70,0,0.0044
96.1309,-70,0,0.0044
54.5348,-70,0,0.0044
376.95,-70,0,0.0044
98.3168,-70,0,0.0044
92.049,-70,0,0.0044
100.957,-70,0,0.0044
103.748,-70,0,0.0044
75.0433,-70,0,0.0044
121.576,-70,0,0.0044
181.214,-70,0,0.0044
436.636,-70,0,0.0044
79.574,-70,0,0.0044
72.4992,-70,0,0.0044
158.616,-70,0,0.0044
104.718,-70,0,0.0044
97.4862,-70,0,0.0044
412.65,-70,0,0.0044
83.8619,-70,0,0.0044
103.718,-70,0,0.0044
83.377,-70,0,0.0044
114.937,-70,0,0.0044
343.014,-70,0,0.0044
204.133,-70,0,0.0044
412.377,-70,0,0.0044
97.6857,-70,0,0.0044
100.279,-70,0,0.0044
117.584,-70,0,0.0044
385.304,-70,0,0.0044
146.676,-70,0,0.0044
97.6917,-70,0,0.0044
121.206,-70,0,0.0044
82.128,-70,0,0.0044
243.41,-70,0,0.0044
89.0008,-70,0,0.0044
294.038,-70,0,0.0044
121.912,-70,0,0.0044
188.166,-70,0,0.0044
82.1328,-70,0,0.0044
86.7988,-70,0,0.0044
188.055,-70,0,0.0044
93.2366,-70,0,0.0044
398.903,-70,0,0.0044
