in s,C1 in V
-4.2568E-06,2.27119E+00
-4.2564E-06,2.29072E+00
-4.2560E-06,2.28096E+00
-4.2556E-06,2.28096E+00
-4.2552E-06,2.29072E+00
-4.2548E-06,2.28096E+00
-4.2544E-06,2.29561E+00
-4.2540E-06,2.28096E+00
-4.2536E-06,2.27119E+00
-4.2532E-06,2.29561E+00
-4.2528E-06,2.29072E+00
-4.2524E-06,2.29072E+00
-4.2520E-06,2.28096E+00
-4.2516E-06,2.31025E+00
-4.2512E-06,2.30537E+00
-4.2508E-06,2.30049E+00
-4.2504E-06,2.29561E+00
-4.2500E-06,2.29072E+00
-4.2496E-06,2.28584E+00
-4.2492E-06,2.29072E+00
-4.2488E-06,2.29072E+00
-4.2484E-06,2.28096E+00
-4.2480E-06,2.30049E+00
-4.2476E-06,2.30537E+00
-4.2472E-06,2.27607E+00
-4.2468E-06,2.29561E+00
-4.2464E-06,2.29072E+00
-4.2460E-06,2.30049E+00
-4.2456E-06,2.29072E+00
-4.2452E-06,2.31025E+00
-4.2448E-06,2.29072E+00
-4.2444E-06,2.28096E+00
-4.2440E-06,2.30537E+00
-4.2436E-06,2.29561E+00
-4.2432E-06,2.29072E+00
-4.2428E-06,2.28096E+00
-4.2424E-06,2.29561E+00
-4.2420E-06,2.28584E+00
-4.2416E-06,2.29072E+00
-4.2412E-06,2.29561E+00
-4.2408E-06,2.26631E+00
-4.2404E-06,2.29561E+00
-4.2400E-06,2.29072E+00
-4.2396E-06,2.30537E+00
-4.2392E-06,2.28584E+00
-4.2388E-06,2.29072E+00
-4.2384E-06,2.30537E+00
-4.2380E-06,2.30537E+00
-4.2376E-06,2.29072E+00
-4.2372E-06,2.30537E+00
-4.2368E-06,2.29072E+00
-4.2364E-06,2.29561E+00
-4.2360E-06,2.30537E+00
-4.2356E-06,2.29561E+00
-4.2352E-06,2.29072E+00
-4.2348E-06,2.29561E+00
-4.2344E-06,2.29561E+00
-4.2340E-06,2.30537E+00
-4.2336E-06,2.31025E+00
-4.2332E-06,2.29072E+00
-4.2328E-06,2.27607E+00
-4.2324E-06,2.28584E+00
-4.2320E-06,2.30537E+00
-4.2316E-06,2.31025E+00
-4.2312E-06,2.28096E+00
-4.2308E-06,2.28584E+00
-4.2304E-06,2.30537E+00
-4.2300E-06,2.29561E+00
-4.2296E-06,2.28584E+00
-4.2292E-06,2.30049E+00
-4.2288E-06,2.29072E+00
-4.2284E-06,2.30049E+00
-4.2280E-06,2.29561E+00
-4.2276E-06,2.29561E+00
-4.2272E-06,2.29561E+00
-4.2268E-06,2.30537E+00
-4.2264E-06,2.29072E+00
-4.2260E-06,2.29561E+00
-4.2256E-06,2.30049E+00
-4.2252E-06,2.30049E+00
-4.2248E-06,2.28096E+00
-4.2244E-06,2.29072E+00
-4.2240E-06,2.27607E+00
-4.2236E-06,2.28096E+00
-4.2232E-06,2.27607E+00
-4.2228E-06,2.30537E+00
-4.2224E-06,2.30049E+00
-4.2220E-06,2.29561E+00
-4.2216E-06,2.29072E+00
-4.2212E-06,2.30537E+00
-4.2208E-06,2.28584E+00
-4.2204E-06,2.30049E+00
-4.2200E-06,2.30049E+00
-4.2196E-06,2.31025E+00
-4.2192E-06,2.30537E+00
-4.2188E-06,2.30049E+00
-4.2184E-06,2.28584E+00
-4.2180E-06,2.29561E+00
-4.2176E-06,2.29561E+00
-4.2172E-06,2.29561E+00
-4.2168E-06,2.28584E+00
-4.2164E-06,2.29072E+00
-4.2160E-06,2.29561E+00
-4.2156E-06,2.29561E+00
-4.2152E-06,2.28584E+00
-4.2148E-06,2.28584E+00
-4.2144E-06,2.29561E+00
-4.2140E-06,2.28584E+00
-4.2136E-06,2.29072E+00
-4.2132E-06,2.28584E+00
-4.2128E-06,2.30537E+00
-4.2124E-06,2.30537E+00
-4.2120E-06,2.29072E+00
-4.2116E-06,2.28584E+00
-4.2112E-06,2.29561E+00
-4.2108E-06,2.30049E+00
-4.2104E-06,2.29072E+00
-4.2100E-06,2.29561E+00
-4.2096E-06,2.29561E+00
-4.2092E-06,2.28096E+00
-4.2088E-06,2.28096E+00
-4.2084E-06,2.30049E+00
-4.2080E-06,2.31025E+00
-4.2076E-06,2.31514E+00
-4.2072E-06,2.30537E+00
-4.2068E-06,2.29072E+00
-4.2064E-06,2.29561E+00
-4.2060E-06,2.30049E+00
-4.2056E-06,2.29561E+00
-4.2052E-06,2.28584E+00
-4.2048E-06,2.28584E+00
-4.2044E-06,2.30537E+00
-4.2040E-06,2.28096E+00
-4.2036E-06,2.29561E+00
-4.2032E-06,2.29072E+00
-4.2028E-06,2.28584E+00
-4.2024E-06,2.31514E+00
-4.2020E-06,2.28096E+00
-4.2016E-06,2.29072E+00
-4.2012E-06,2.30049E+00
-4.2008E-06,2.30049E+00
-4.2004E-06,2.31025E+00
-4.2000E-06,2.30049E+00
-4.1996E-06,2.31514E+00
-4.1992E-06,2.31025E+00
-4.1988E-06,2.31025E+00
-4.1984E-06,2.30537E+00
-4.1980E-06,2.30049E+00
-4.1976E-06,2.29561E+00
-4.1972E-06,2.31025E+00
-4.1968E-06,2.29561E+00
-4.1964E-06,2.31025E+00
-4.1960E-06,2.28584E+00
-4.1956E-06,2.28096E+00
-4.1952E-06,2.28584E+00
-4.1948E-06,2.30049E+00
-4.1944E-06,2.29072E+00
-4.1940E-06,2.29561E+00
-4.1936E-06,2.30049E+00
-4.1932E-06,2.29072E+00
-4.1928E-06,2.29561E+00
-4.1924E-06,2.29561E+00
-4.1920E-06,2.28584E+00
-4.1916E-06,2.29072E+00
-4.1912E-06,2.28584E+00
-4.1908E-06,2.31025E+00
-4.1904E-06,2.29561E+00
-4.1900E-06,2.31025E+00
-4.1896E-06,2.29561E+00
-4.1892E-06,2.31025E+00
-4.1888E-06,2.30537E+00
-4.1884E-06,2.30049E+00
-4.1880E-06,2.30049E+00
-4.1876E-06,2.31514E+00
-4.1872E-06,2.32490E+00
-4.1868E-06,2.30537E+00
-4.1864E-06,2.29561E+00
-4.1860E-06,2.31025E+00
-4.1856E-06,2.31025E+00
-4.1852E-06,2.30049E+00
-4.1848E-06,2.30537E+00
-4.1844E-06,2.31025E+00
-4.1840E-06,2.29561E+00
-4.1836E-06,2.30049E+00
-4.1832E-06,2.29072E+00
-4.1828E-06,2.29561E+00
-4.1824E-06,2.29561E+00
-4.1820E-06,2.30049E+00
-4.1816E-06,2.29072E+00
-4.1812E-06,2.29561E+00
-4.1808E-06,2.31025E+00
-4.1804E-06,2.31025E+00
-4.1800E-06,2.30537E+00
-4.1796E-06,2.30049E+00
-4.1792E-06,2.29561E+00
-4.1788E-06,2.30049E+00
-4.1784E-06,2.29072E+00
-4.1780E-06,2.30537E+00
-4.1776E-06,2.29561E+00
-4.1772E-06,2.29561E+00
-4.1768E-06,2.30049E+00
-4.1764E-06,2.30049E+00
-4.1760E-06,2.30049E+00
-4.1756E-06,2.29561E+00
-4.1752E-06,2.29561E+00
-4.1748E-06,2.30537E+00
-4.1744E-06,2.30049E+00
-4.1740E-06,2.30049E+00
-4.1736E-06,2.30049E+00
-4.1732E-06,2.29561E+00
-4.1728E-06,2.28096E+00
-4.1724E-06,2.30049E+00
-4.1720E-06,2.29561E+00
-4.1716E-06,2.31025E+00
-4.1712E-06,2.29072E+00
-4.1708E-06,2.29561E+00
-4.1704E-06,2.29561E+00
-4.1700E-06,2.29072E+00
-4.1696E-06,2.30049E+00
-4.1692E-06,2.30049E+00
-4.1688E-06,2.29072E+00
-4.1684E-06,2.30537E+00
-4.1680E-06,2.30049E+00
-4.1676E-06,2.29561E+00
-4.1672E-06,2.30049E+00
-4.1668E-06,2.31025E+00
-4.1664E-06,2.29561E+00
-4.1660E-06,2.29561E+00
-4.1656E-06,2.28096E+00
-4.1652E-06,2.29072E+00
